대표지번,진행단계,위도,경도,cate_code
원효로4가 109-4,조합설립인가,37.53211,126.95127,4
정릉동 545-12,조합설립인가,37.61654,126.99794,4
자양동 464-40,조합설립인가,36.3366812,127.4490374,4
영등포동7가 76-5,조합설립인가,37.5246695,126.9073675901746,4
반포동 591-1,조합설립인가,37.50312,127.0014,4
전농동 204,조합설립인가,37.5806,127.05543,4
전농동 494,조합설립인가,37.5806,127.05543,4
신림동 808-,조합설립인가,37.4730961,126.9282982,4
안암동3가 136-1,조합설립인가,37.58371,127.02359,4
장위동 233-552,조합설립인가,37.6162,127.05086,4
동빙고동 60,조합설립인가,37.5264049,126.996159,4
반포동 30-1,조합설립인가,37.50312,127.0014,4
신설동 92-5,조합설립인가,37.573478,127.0257068,4
이촌동 193-3,조합설립인가,37.52086,126.96612,4
이촌동 300-11,조합설립인가,37.5206005,126.981141,4
풍납동 147-1,조합설립인가,37.53387,127.11094,4
금호동3가 1,조합설립인가,37.54998,127.02213,4
방화동 598-146,조합설립인가,37.57682,126.81422,4
봉천동 14-120,조합설립인가,37.484665,126.9484961,4
신수동 91-90,조합설립인가,37.54620345,126.9359375116903,4
사당동 277-1,조합설립인가,37.4856963,126.9723525,4
봉천동 1,조합설립인가,37.4647303,126.95994046701662,4
시흥동 934,조합설립인가,37.41911,127.10186,4
번동 454-61,조합설립인가,37.62929,127.03684,4
정릉동 226-1,조합설립인가,37.61654,126.99794,4
고척동 227-1,조합설립인가,37.5034631,126.8585846,4
양재동 18-18,조합설립인가,37.4760162,127.0430561,4
구로동 153-3,조합설립인가,37.4945849,126.8845477,4
반포동 46,조합설립인가,37.5053425,127.021292,4
면목동 1251-4,조합설립인가,37.58178,127.09034,4
사당동 235-81,조합설립인가,37.4856963,126.9723525,4
풍납동 299-1,조합설립인가,37.53387,127.11094,4
문정동 72-3,조합설립인가,37.48434,127.12246,4
오금동 67-7,조합설립인가,37.3484254,126.9293833882768,4
거여동 294,조합설립인가,37.48921,127.14667,4
오류동 150-42,조합설립인가,36.3253384,127.4050329,4
압구정동 434,조합설립인가,37.5300432,127.0313346,4
충정로3가 250-,조합설립인가,37.5618374,126.9616577,4
잠실동 101-1,조합설립인가,37.5122807,127.0855986,4
장위동 68-833,조합설립인가,37.6162,127.05086,4
사당동 217-15,조합설립인가,37.4856963,126.9723525,4
장위동 219-133,조합설립인가,37.6162,127.05086,4
신림동 1480-1,조합설립인가,37.4730961,126.9282982,4
봉천동 728-57,조합설립인가,37.484665,126.9484961,4
미아동 403,조합설립인가,37.628995,127.02575433718266,4
잠실동 27,조합설립인가,37.5122807,127.0855986,4
망우동 178-1,조합설립인가,37.60178,127.1054,4
성수동2가 219-4,조합설립인가,37.54048,127.05601,4
면목동 174-74,조합설립인가,37.58178,127.09034,4
성수동2가 506,조합설립인가,37.54048,127.05601,4
서초동 1315,조합설립인가,37.48818,127.01751,4
종암동 81-188,조합설립인가,37.59631,127.03333,4
청파동2가 11-1,조합설립인가,37.54655,126.96675,4
양평동1가 20,조합설립인가,37.5247393,126.8836443,4
불광동 19-3,조합설립인가,37.6160647,126.9339579,4
성수동2가 572-7,조합설립인가,37.54048,127.05601,4
성수동1가 72-10,조합설립인가,37.5435,127.03742,4
답십리동 952,조합설립인가,37.57002,127.05467,4
가산동 555-55,조합설립인가,37.47532525,126.88639535805152,4
신길동 190,조합설립인가,37.3335204,126.77378,4
한강로1가 158-,조합설립인가,37.5329856,126.9719188,4
