대표지번,진행단계,cate_code,위도,경도
시흥동 983-13,조합설립인가,4,37.4507049,126.9085555
개포동 658-1,조합설립인가,4,37.48421,127.07006
북아현동 1-954,조합청산,12,37.55947205,126.9552493630483
사당동 155-4,조합설립인가,4,37.4856963,126.9723525
망원동 459-1,조합설립인가,4,37.55586,126.90087
망원동 456-2,조합설립인가,4,37.55586,126.90087
미아동 90-45,조합설립인가,4,37.628995,127.02575433718266
오금동 35-1,조합설립인가,4,37.654355550000005,126.90066254943082
묵동 188-1,조합설립인가,4,37.61083,127.08109
자양동 695,정비구역지정,2,37.5329735,127.0727409
대림동 893-47,조합설립인가,4,37.4957573,126.899936
상수동 334-11,조합설립인가,4,37.54743,126.92473
공덕동 370-9,조합설립인가,4,37.549927049999994,126.95928971994923
대조동 59-1,정비구역지정,2,37.612610000000004,126.92278351858204
신수동 91-318,조합설립인가,4,37.54620345,126.9359375116903
여의도동 52,조합설립인가,4,,
오금동 43,정비구역지정,2,37.35395724999999,126.93242287905082
명일동 263-2,착공신고,9,37.54841,127.15158
고척동 57-9,사업시행인가,5,37.5034631,126.8585846
명일동 44,정비계획 수립,1,37.54841,127.15158
신정동 314,정비계획 수립,1,35.53487,129.31199
성산동 165-72,조합설립인가,4,35.20092,128.67494
명일동 15,조합설립인가,4,37.54841,127.15158
천호동 221,조합설립인가,4,37.54294,127.12733
여의도동 50,조합설립인가,4,,
면목동 63-28,조합설립인가,4,37.58178,127.09034
사당동 220-70,조합설립인가,4,37.4856963,126.9723525
문래동1가 13,정비계획 수립,1,37.51217,126.89799
신길동 3923,조합설립추진위원회승인,3,37.3335204,126.77378
대림동 786,조합설립인가,4,35.86723,128.74766
영등포동7가 64-3,조합설립추진위원회승인,3,37.5246695,126.9073675901746
신길동 4-79,조합설립추진위원회승인,3,37.3335204,126.77378
상도동 159-52,조합설립인가,4,37.4988159,126.9441045
상도동 363-117,조합설립인가,4,36.01528,129.35519
미아동 833-2,조합설립인가,4,37.628995,127.02575433718266
장위동 68-435,조합설립인가,4,37.6162,127.05086
번동 428-4,사업시행인가,5,37.62929,127.03684
도화동 536,조합설립인가,4,37.5386394,126.94924282127039
마천동 194-1,조합설립인가,4,35.1267919,128.7835554
제기동 892-68,관리처분인가,6,37.58465,127.03678
방배동 758-4,조합설립추진위원회승인,3,37.4798789,126.9939103
한강로3가 40-712,조합설립추진위원회승인,3,37.52754,126.96297
화곡동 1130-7,조합설립인가,4,37.54208,126.84656
풍납동 406,착공신고,9,37.53387,127.11094
방배동 872-11,조합설립추진위원회승인,3,37.4798789,126.9939103
휘경동 43-188,조합설립추진위원회승인,3,37.58773,127.06526
면목동 69-14,조합설립추진위원회승인,3,37.58178,127.09034
당산동3가 394,조합설립추진위원회승인,3,37.52616,126.89724
신길동 355-310,조합설립추진위원회승인,3,37.3335204,126.77378
신길동 355-315,조합설립추진위원회승인,3,37.3335204,126.77378
신길동 355-347,조합설립추진위원회승인,3,37.3335204,126.77378
신길동 347-86,조합설립추진위원회승인,3,37.3335204,126.77378
신길동 263-56,조합설립추진위원회승인,3,37.3335204,126.77378
대림동 786-2,정비계획 수립,1,35.86723,128.74766
도림동 239-12,정비계획 수립,1,37.508261899999994,126.8993866115764
신길동 1343,정비계획 수립,1,37.3335204,126.77378
노량진동 312-75,관리처분인가,6,37.5110101,126.9414634
북아현동 221-7,정비계획 수립,1,37.55947205,126.9552493630483
시흥동 923,조합설립인가,4,37.4507049,126.9085555
잠원동 52-2,이전고시,7,37.518254400000004,127.01240284968915
길음동 542-1,일반분양승인,10,37.6085308,127.0201946
신대방동 364-190,조합설립인가,4,37.4955756,126.9195788
가산동 666-666,정비계획 수립,1,37.47532525,126.88639535805152
