대표지번,진행단계,위도,경도
궁동 171-1,조합설립인가,35.1506767,126.9183969
신림동 1448-1,조합설립인가,37.48682825,126.92826657522511
상도동 154-30,조합설립인가,37.4988159,126.9441045
당산동5가 7-2,조합설립인가,37.53208,126.90102
전농동 103-236,조합설립인가,37.5823142,127.0483446
길음동 31-1,조합설립인가,37.6085308,127.0201946
압구정동 490,조합설립인가,37.5300432,127.0313346
잠원동 60-78,조합설립인가,37.518254400000004,127.01240284968915
대림동 700-1,조합설립인가,37.4957573,126.899936
도곡동 465,조합설립인가,37.4878395,127.0438569
이문동 168-1,조합설립인가,37.60021,127.06124
대림동 990-7,조합설립인가,37.4957573,126.899936
고척동 241-63,조합설립인가,37.5034631,126.8585846
방배동 980-36,조합설립인가,37.4798789,126.9939103
공덕동 119,조합설립인가,37.549927049999994,126.95928971994923
영등포동5가 22-3,조합설립인가,37.52095,126.9066
동소문동2가  33,조합설립인가,37.58839,127.00785
영등포동5가 30,조합설립인가,37.52095,126.9066
장위동 233-42,조합설립인가,37.6162,127.05086
홍은동 277-45,조합설립인가,37.59296,126.93733
하월곡동 40-107,조합설립인가,37.60444,127.03764
상도동 356-159,조합설립인가,36.01528,129.35519
정릉동 175,조합설립인가,37.61654,126.99794
잠원동 73,조합설립인가,37.5156693,127.0177235
정릉동 218-1,조합설립인가,37.61654,126.99794
방배동 528-3,조합설립인가,37.4798789,126.9939103
미아동 791-108,조합설립인가,37.628995,127.02575433718266
상계동 109-43,조합설립인가,37.66727,127.07242
북가좌동 372-1,조합설립인가,37.57953,126.91156
길동 54,조합설립인가,37.53736,127.14703
여의도동 30,조합설립인가,37.5217718,126.9266205
광장동 332-9,조합설립인가,37.54711,127.10414
창동 501-13,조합설립인가,37.64643,127.04326
정릉동 670-24,조합설립인가,37.61654,126.99794
성북동 300-5,조합설립인가,37.59552,126.99215
정릉동 545-12,조합설립인가,37.61654,126.99794
성수동1가 656-1267,조합설립인가,37.5435,127.03742
장위동 219-114,조합설립인가,37.6162,127.05086
안암동3가 54,조합설립인가,37.58371,127.02359
여의도동 42,조합설립인가,37.5215591,126.9248627
창신동 459-12,조합설립인가,37.57595,127.01313
가락동 55,조합설립인가,35.190215,128.8920173
고척동 241-11,조합설립인가,37.5034631,126.8585846
화곡동 359-124,조합설립인가,37.54208,126.84656
방화동 589-13,조합설립인가,37.57682,126.81422
시흥동 920-13,조합설립인가,37.41911,127.10186
미아동 8-373,조합설립인가,37.628995,127.02575433718266
사당동 57-18,조합설립인가,37.4856963,126.9723525
홍제동 90-6,조합설립인가,37.5871,126.94676
면목동 192,조합설립인가,37.58178,127.09034
논현동 191-4,조합설립인가,37.5123018,127.0294935
미아동 42-8,조합설립인가,37.628995,127.02575433718266
논현동 62-3,조합설립인가,37.4031099,126.7261793
한강로3가 65-500,조합설립인가,37.52754,126.96297
내발산동 716-20,조합설립인가,37.5539189,126.8377194
수색동 366-6,조합설립인가,37.585187250000004,126.8948584489098
방배동 593-98,조합설립인가,,
방화동 584-1,조합설립인가,37.57682,126.81422
원효로4가 109-4,조합설립인가,37.53211,126.95127
정릉동 545-12,조합설립인가,37.61654,126.99794
자양동 464-40,조합설립인가,36.3366812,127.4490374
영등포동7가 76-5,조합설립인가,37.5246695,126.9073675901746
반포동 591-1,조합설립인가,37.50312,127.0014
전농동 204,조합설립인가,37.5806,127.05543
전농동 494,조합설립인가,37.5806,127.05543
신림동 808-,조합설립인가,37.4730961,126.9282982
안암동3가 136-1,조합설립인가,37.58371,127.02359
장위동 233-552,조합설립인가,37.6162,127.05086
동빙고동 60,조합설립인가,37.5264049,126.996159
반포동 30-1,조합설립인가,37.50312,127.0014
신설동 92-5,조합설립인가,37.573478,127.0257068
이촌동 193-3,조합설립인가,37.52086,126.96612
이촌동 300-11,조합설립인가,37.5206005,126.981141
풍납동 147-1,조합설립인가,37.53387,127.11094
금호동3가 1,조합설립인가,37.54998,127.02213
방화동 598-146,조합설립인가,37.57682,126.81422
봉천동 14-120,조합설립인가,37.484665,126.9484961
신수동 91-90,조합설립인가,37.54620345,126.9359375116903
사당동 277-1,조합설립인가,37.4856963,126.9723525
봉천동 1,조합설립인가,37.4647303,126.95994046701662
시흥동 934,조합설립인가,37.41911,127.10186
번동 454-61,조합설립인가,37.62929,127.03684
정릉동 226-1,조합설립인가,37.61654,126.99794
고척동 227-1,조합설립인가,37.5034631,126.8585846
양재동 18-18,조합설립인가,37.4760162,127.0430561
구로동 153-3,조합설립인가,37.4945849,126.8845477
반포동 46,조합설립인가,37.5053425,127.021292
면목동 1251-4,조합설립인가,37.58178,127.09034
사당동 235-81,조합설립인가,37.4856963,126.9723525
풍납동 299-1,조합설립인가,37.53387,127.11094
문정동 72-3,조합설립인가,37.48434,127.12246
