진행단계,정비구역명칭,정비구역면적(㎡),사업구분,재건축단계,서울시_정비구역위치,Latitude,Longitude,cate_code
조합설립인가,(가칭)당곡역지역주택조합사업,58571.1,지역주택,조합 설립 전,서울시 관악구 신림동 1448-1,37.4892374,126.9237523,4
조합설립인가,석관1의7구역 가로주택정비사업,9801.08,가로주택정비,조합 설립 전,서울시 성북구 석관동 332-46번지,37.6075835,127.0594456,4
조합설립추진위원회승인,마로포1구역 제23지구 도시정비형 재개발사업,4243.5,재개발(도시정비형),조합 설립 전,서울시 마포구 마포동 350-0,37.5362976,126.9439291,3
조합설립추진위원회승인,우창연립,5149.0,재건축,조합 설립 전,서울시 금천구 가산동 547-44번지,37.4778336,126.8776884,3
조합설립인가,문래동4가 도시환경정비구역,94087.0,재개발(도시정비형),조합 설립 전,서울시 문래동4가 23-6,37.5150492,126.890374,4
조합설립인가,장미123차아파트 주택재건축정비사업,343266.7,재건축,조합 설립 전,서울시 송파구 신천동 7번지 11번지,37.5188846,127.0992806,4
조합설립인가,성락타운아파트소규모재건축사업,4733.0,소규모재건축,조합 설립 전,서울시 은평구 신사동 261-20,37.6016887,126.9062423,4
조합설립인가,성내동 288-1번지 일원 가로주택정비사업,9682.0,가로주택정비,조합 설립 전,서울시 강동구 성내동 288-1,37.5334889,127.1255734,4
조합설립추진위원회승인,신정3재정비촉진3-1구역,20536.9,재개발(도시정비형),조합 설립 전,서울시 양천구 신정3동 1190-1번지,37.5209391,126.8520155,3
조합설립인가,상도3동지역주택조합,23522.0,지역주택,조합 설립 전,서울시 동작구 상도동 356-159 (정비구역 면적은 사업계획 승인전 변경됨),37.502212,126.9336106,4
조합설립인가,영등포1-11 도시환경정비구역,17391.8,재개발(도시정비형),조합 설립 전,서울시 영등포구 영등포동5가 30번지,37.5211172,126.905614,4
조합설립인가,동소문제2구역 주택재개발정비사업,20657.3,재개발(주택정비형),조합 설립 전,서울시 동소문동2가 33번지 외 248필지,37.5883735,127.0071174,4
정비구역지정,문래동2?3가 도시환경정비사업,89056.0,재개발(도시정비형),조합 설립 전,서울시 문래동2가 14-84,37.5135111,126.8945776,2
조합설립인가,영등포1-12 재정비촉진구역,16256.0,재개발(도시정비형),조합 설립 전,서울시 영등포동5가 22-3,37.5203915,126.906205,4
